sample,matches,expected_total_goals,actual_total_goals,bias,realised_minus_expected,relative_gap_vs_expected
2014,48,2.4681161153844005,2.8333333333333335,-0.365217217948933,0.365217217948933,0.14797408260998762
2018,48,2.298123026021278,2.5416666666666665,-0.24354364064538858,0.24354364064538858,0.10597502304610461
2022,48,2.394502364849994,2.5,-0.1054976351500061,0.1054976351500061,0.044058271438213885
Combined,144,2.3869138354185573,2.625,-0.23808616458144272,0.23808616458144272,0.09974644289566201
